,model,fit,predict,file
BayesianRidge,BayesianRidge,0.031244039535522003,0.0,./result\result30000.txt
DecisionTreeRegressor,DecisionTreeRegressor,0.18891358375549303,0.0,./result\result30000.txt
RandomForestRegressor,RandomForestRegressor,9.64609670639038,0.200654983520507,./result\result30000.txt
GradientBoostingRegressor,GradientBoostingRegressor,4.825035572052002,0.047305345535278,./result\result30000.txt
KNeighborsRegressor,KNeighborsRegressor,0.078558444976806,0.9594087600708001,./result\result30000.txt
LGBMRegressor,LGBMRegressor,0.34602284431457503,0.125340223312377,./result\result30000.txt
XGBRegressor,XGBRegressor,1.682891368865966,0.078553199768066,./result\result30000.txt
CatBoostRegressor,CatBoostRegressor,7.39971113204956,0.009513854980468,./result\result30000.txt
KMeans,KMeans,0.282174825668334,0.0,./result\result30000.txt
GaussianMixture,GaussianMixture,0.141037702560424,0.015645265579223,./result\result30000.txt
DBSCAN,DBSCAN,0.801193952560424,,./result\result30000.txt
PCA,PCA,0.015627622604370003,,./result\result30000.txt
NMF,NMF,0.125977277755737,,./result\result30000.txt
NearestNeighbors,NearestNeighbors,0.06254100799560501,,./result\result30000.txt
LinearRegression,LinearRegression,0.235342979431152,0.02473759651184,./result\result300000.txt
Ridge,Ridge,0.062947750091552,0.03128695487976,./result\result300000.txt
Lasso,Lasso,8.304306268692017,0.03126573562622,./result\result300000.txt
BayesianRidge,BayesianRidge,0.219291448593139,0.031649827957153,./result\result300000.txt
DecisionTreeRegressor,DecisionTreeRegressor,1.319608688354492,0.046895265579223,./result\result300000.txt
RandomForestRegressor,RandomForestRegressor,90.75526571273804,1.900834560394287,./result\result300000.txt
GradientBoostingRegressor,GradientBoostingRegressor,63.95508003234863,0.423874616622924,./result\result300000.txt
KNeighborsRegressor,KNeighborsRegressor,1.304595232009887,14.696318626403809,./result\result300000.txt
LGBMRegressor,LGBMRegressor,1.414003133773803,0.7216415405273431,./result\result300000.txt
XGBRegressor,XGBRegressor,12.273510932922363,0.37667846679687506,./result\result300000.txt
CatBoostRegressor,CatBoostRegressor,34.077641248703,0.19788742065429601,./result\result300000.txt
KMeans,KMeans,2.260709285736084,0.047373771667480004,./result\result300000.txt
GaussianMixture,GaussianMixture,0.674993276596069,0.12543654441833402,./result\result300000.txt
DBSCAN,DBSCAN,15.967144966125488,,./result\result300000.txt
PCA,PCA,0.21980309486389102,,./result\result300000.txt
NMF,NMF,1.585862636566162,,./result\result300000.txt
NearestNeighbors,NearestNeighbors,1.446629285812378,,./result\result300000.txt
LinearRegression,LinearRegression,2.74672269821167,0.267024517059326,./result\result3000000.txt
Ridge,Ridge,0.581638813018798,0.26657843589782704,./result\result3000000.txt
Lasso,Lasso,165.9998209476471,0.266764640808105,./result\result3000000.txt
BayesianRidge,BayesianRidge,3.534147977828979,0.28270721435546803,./result\result3000000.txt
DecisionTreeRegressor,DecisionTreeRegressor,20.678725719451904,0.582180261611938,./result\result3000000.txt
KNeighborsRegressor,KNeighborsRegressor,24.791977405548096,196.44391107559204,./result\result3000000.txt
LGBMRegressor,LGBMRegressor,12.998565196990967,6.321451425552368,./result\result3000000.txt
XGBRegressor,XGBRegressor,271.77722907066345,3.47014832496643,./result\result3000000.txt
CatBoostRegressor,CatBoostRegressor,304.7728805541992,1.9636480808258052,./result\result3000000.txt
KMeans,KMeans,22.012906074523926,0.423852443695068,./result\result3000000.txt
GaussianMixture,GaussianMixture,6.777557373046875,1.209147453308105,./result\result3000000.txt
DBSCAN,DBSCAN,297.59845304489136,,./result\result3000000.txt
PCA,PCA,2.120975732803344,,./result\result3000000.txt
NMF,NMF,15.891107320785522,,./result\result3000000.txt
NearestNeighbors,NearestNeighbors,18.24490189552307,,./result\result3000000.txt
